location,date,vaccine,total_vaccinations
Germany,2021-01-31,Johnson&Johnson,37
Germany,2021-02-28,Johnson&Johnson,98
Germany,2021-03-31,Johnson&Johnson,123
Germany,2021-04-30,Johnson&Johnson,3728
Germany,2021-05-31,Johnson&Johnson,529629
Germany,2021-06-30,Johnson&Johnson,2033641
Germany,2021-07-31,Johnson&Johnson,2517593
Germany,2021-08-31,Johnson&Johnson,2958131
Germany,2021-09-30,Johnson&Johnson,3295288
Germany,2021-10-31,Johnson&Johnson,3417105
Germany,2021-11-30,Johnson&Johnson,3593006
Germany,2021-12-31,Johnson&Johnson,3696356
Germany,2022-01-31,Johnson&Johnson,3725938
Germany,2022-02-28,Johnson&Johnson,3735338
Germany,2022-03-31,Johnson&Johnson,3741904
Germany,2022-04-30,Johnson&Johnson,3744945
Germany,2022-05-31,Johnson&Johnson,3746706
Germany,2022-06-30,Johnson&Johnson,3747907
Germany,2022-07-31,Johnson&Johnson,3749206
